"artist","name","popularity","country_mb","listeners_lastfm","spotify_id"
"Coldplay","Higher Power",86,"United Kingdom","5381567.0","4gzpq5DPGxSnKTe4SA8HAU"
"Radiohead","Creep",82,"United Kingdom","4732528.0","4Z8W4fKeB5YxbusRsdQVPb"
"Red Hot Chili Peppers","Californication",81,"United States","4620835.0","0L8ExT028jH3ddEcZwqJJ5"
"Rihanna","Umbrella",67,"United States","4558193.0","5pKCCKE2ajJHZ9KAiaK11H"
"Eminem","The Real Slim Shady",85,"United States","4517997.0","7dGJo4pcD2V6oG8kP0tJRR"
"The Killers","Mr. Brightside",82,"United States","4428868.0","0C0XlULifJtAgn6ZNCW2eu"
"Kanye West","Stronger",81,"United States","4390502.0","5K4W6rqBFWDnAN6FQUkS6x"
"Nirvana","Smells Like Teen Spirit",77,"United States","4272894.0","6olE6TJLqED3rqDCT0FyPh"
"Muse","Supermassive Black Hole",76,"United Kingdom","4089612.0","12Chz98pHFMPJEknJQMWvI"
"Queen","Another One Bites The Dust - Remastered 2011",75,"United Kingdom","4023379.0","1dfeR4HaWDbWqFHLkxsg1d"
"Foo Fighters","Everlong",78,"United States","4005236.0","7jy3rLJdDQY21OgRLCZ9sD"
"Linkin Park","In the End",84,"United States","3978390.0","6XyY86QOPPrYVGvF9ch6wz"
"Lady Gaga","Shallow",84,"United States","3820581.0","1HY2Jd0NmPuamShAr6KMms"
"The Rolling Stones","Paint It, Black",79,"United Kingdom","3798330.0","22bE4uQ6baNwSHPVcDxLCe"
"Daft Punk","Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit",79,"France","3782404.0","4tZwfgrHOc3mvqYlEYSvVi"
"Green Day","Basket Case",80,"United States","3738772.0","7oPftvlwr6VrsViSDV7fJY"
"Katy Perry","Electric",79,"United States","3733134.0","6jJ0s89eD6GaHleKKya26X"
"The Beatles","Here Comes The Sun - Remastered 2009",83,"United Kingdom","3674017.0","3WrFJ7ztbogyGnTHbHJFl2"
"Oasis","Wonderwall - Remastered",79,"United Kingdom","3592076.0","2DaxqgrOhkeH0fpeiQq2f4"
"Gorillaz","Feel Good Inc.",83,"United Kingdom","3577998.0","3AA28KZvwAUcZuOKwyblJQ"
"Beyoncé","Halo",65,"United States","3554615.0","6vWDO969PvNqNYHIOW5v0m"
"Michael Jackson","Billie Jean",84,"United States","3546966.0","3fMbdgg4jU18AjLCKBhRSm"
"Maroon 5","Beautiful Mistakes (feat. Megan Thee Stallion)",91,"United States","3507447.0","04gDigrS5kc9YWfZHwBETP"
"Arctic Monkeys","Do I Wanna Know?",85,"United Kingdom","3501680.0","7Ln80lUS6He07XvHI8qqHH"
"U2","With Or Without You - Remastered",79,"Ireland","3487345.0","51Blml2LZPmy7TTiAg47vQ"
"Kings of Leon","Sex on Fire",82,"United States","3437638.0","2qk9voo8llSGYcZ6xrBzKx"
"Drake","Wants and Needs (feat. Lil Baby)",89,"Canada","3379644.0","3TVXtAsR1Inumwj472S9r4"
"David Bowie","Heroes - 2017 Remaster",75,"United Kingdom","3354711.0","0oSGxfWSnnOXhD2fKuz2Gy"
"The Strokes","The Adults Are Talking",80,"United States","3262563.0","0epOFNiUfyON9EYx7Tpr6V"
"Britney Spears","Gimme More",83,"United States","3255085.0","26dSoYclwsYLMAKD3tpOr4"
"Franz Ferdinand","Take Me Out",78,"United Kingdom","3203026.0","0XNa1vTidXlvJ2gHSsRi4A"
"The Doors","Riders on the Storm",74,"United States","3189868.0","22WZ7M8sxp5THdruNY3gXt"
"JAY-Z","Ni**as In Paris",81,"United States","3169635.0","3nFkdlSjzX9mRTtwJOzDYB"
"Madonna","Hung Up",75,"United States","3102727.0","6tbjWDEIzxoDsBA1FuhfPW"
"Pink Floyd","Wish You Were Here",76,"United Kingdom","3081313.0","0k17h0D3J5VfsdmQ1iZtE9"
"Weezer","Island In The Sun",78,"United States","3050491.0","3jOstUTkEu2JkjvRdBA5Gu"
"Snow Patrol","Chasing Cars",78,"United Kingdom","2982390.0","3rIZMv9rysU7JkLzEaC5Jp"
"The White Stripes","Seven Nation Army",83,"United States","2956612.0","4F84IBURUo98rz4r61KF70"
"The Cure","Friday I'm in Love",67,"United Kingdom","2932819.0","7bu3H8JO7d0UbMoVzbo70s"
"Led Zeppelin","Stairway to Heaven - Remaster",79,"United Kingdom","2930957.0","36QJpDe2go2KgaRleHCDTp"
"Aerosmith","Dream On",79,"United States","2904687.0","7Ey4PD4MYsKc5I2dolUwbH"
"The Offspring","You're Gonna Go Far, Kid",80,"United States","2900065.0","5LfGQac0EIXyAN8aUwmNAQ"
"Metallica","Enter Sandman",74,"United States","2894382.0","2ye2Wgw4gimLv2eAKyk1NB"
"R.E.M.","Losing My Religion",82,"United States","2886482.0","4KWTAlx2RvbpseOGMEmROg"
"Blur","Song 2 - 2012 Remaster",77,"United Kingdom","2872022.0","7MhMgCo0Bl0Kukl93PZbYS"
